g1_amplitude,g1_amplitudeerror,g1_center,g1_centererror,g1_sigma,g1_sigmaerror,g1_fwhm,g1_fwhmerror,g1_height,g1_heighterror
156.3758016839755,0,44.8,0,0.39270464267896754,0,0.9247487466732864,0,158.8596497422827,0
156.3758016839755,0,44.8,0,0.39270464267896754,0,0.9247487466732864,0,158.8596497422827,0
150.11558031650435,0,44.8,0,0.3893587579696238,0,0.9168697904420297,0,153.81047337831592,0
148.9122937207561,0,44.8,0,0.399384498611846,0,0.9404786050211472,0,148.74741799373368,0
168.49048770191442,0,44.8,0,0.4081712055239708,0,0.961169718191957,0,164.6808539706653,0
176.695814943876,0,44.8,0,0.4133309585024427,0,0.9733200077007222,0,170.54477378003534,0
144.23379780550567,0,44.8,0,0.384333411098446,0,0.9050360031228426,0,149.71626554612612,0
162.34425111849606,0,44.8,0,0.4178117978020852,0,0.9838715777003064,0,155.01235071315443,0
142.6819182901434,0,44.8,0,0.3869760912410254,0,0.9112590391761914,0,147.09397799883322,0
159.7344345332376,0,44.8,0,0.4032267713788842,0,0.9495264657784241,0,158.0371821146058,0
149.98472650601767,0,44.8,0,0.3944251244278798,0,0.92880017150526,0,151.7024348891914,0
166.9763495900076,0,44.8,0,0.4096580137637522,0,0.9646708839711591,0,162.60863137772677,0
144.38601849300963,0,44.8,0,0.39174340229754256,0,0.9224851985982992,0,147.03933740202046,0
148.94056314014188,0,44.8,0,0.38069104371465534,0,0.8964588835601447,0,156.08113666829615,0
141.39916738586936,0,44.8,0,0.38216211902938513,0,0.8999230011327768,0,147.6077984868674,0
158.0389878828605,0,44.8,0,0.39777476438569015,0,0.936687970670711,0,158.5028588051089,0
127.36843102353093,0,44.8,0,0.390840064788361,0,0.9203580013649283,0,130.00881792257843,0
158.76382839194855,0,44.8,0,0.4095817522276268,0,0.9644913017806602,0,154.63971847136665,0
244.56308911974062,0,44.8,0,2.026301452811587,0,4.771575187109781,0,48.15007220823742,0
133.44007071065894,0,44.8,0,0.4043529654504465,0,0.9521784501020205,0,131.65450304579716,0
142.6779151600988,0,44.8,0,0.40028682339654087,0,0.9426034174706425,0,142.19867431605937,0
